player_id,player_name,player_url,team_code,season,number,pos,height,weight,birth_date,experience,college
badiama02w,Marième Badiane,https://www.basketball-reference.com/wnba/players/b/badiama02w.html,MIN,2025,22,C,6-4,181,"November 24, 1994",R,
carlebr01w,Bridget Carleton,https://www.basketball-reference.com/wnba/players/c/carlebr01w.html,MIN,2025,6,F,6-2,190,"May 22, 1997",6,Iowa State
carridi01w,DiJonai Carrington,https://www.basketball-reference.com/wnba/players/c/carridi01w.html,MIN,2025,3,G-F,5-11,175,"January 8, 1998",4,"Stanford, Baylor"
collina01w,Napheesa Collier,https://www.basketball-reference.com/wnba/players/c/collina01w.html,MIN,2025,24,F,6-1,182,"September 23, 1996",6,UConn
hiedena01w,Natisha Hiedeman,https://www.basketball-reference.com/wnba/players/h/hiedena01w.html,MIN,2025,2,G,5-8,132,"February 10, 1997",6,Marquette
kosuan01w,Anastasiia Kosu,https://www.basketball-reference.com/wnba/players/k/kosuan01w.html,MIN,2025,7,F,6-1,200,"April 21, 2005",R,
mcbrika01w,Kayla McBride,https://www.basketball-reference.com/wnba/players/m/mcbrika01w.html,MIN,2025,21,G,5-11,179,"June 25, 1992",11,Notre Dame
milledi03w,Diamond Miller,https://www.basketball-reference.com/wnba/players/m/milledi03w.html,MIN,2025,1,F,6-1,178,"February 11, 2001",2,Maryland
pilial01w,Alissa Pili,https://www.basketball-reference.com/wnba/players/p/pilial01w.html,MIN,2025,35,F,5-11,235,"June 8, 2001",1,"USC, Utah"
samueka01w,Karlie Samuelson,https://www.basketball-reference.com/wnba/players/s/samueka01w.html,MIN,2025,44,G,6-0,159,"May 10, 1995",6,Stanford
shepaje01w,Jessica Shepard,https://www.basketball-reference.com/wnba/players/s/shepaje01w.html,MIN,2025,15,F,6-4,175,"September 11, 1996",4,Notre Dame
sherrja01w,Jaylyn Sherrod,https://www.basketball-reference.com/wnba/players/s/sherrja01w.html,MIN,2025,0,G,5-7,147,"October 21, 2001",1,"Colorado, Colorado"
smithal01w,Alanna Smith,https://www.basketball-reference.com/wnba/players/s/smithal01w.html,MIN,2025,8,F,6-4,177,"September 10, 1996",6,Stanford
tayloca01w,Camryn Taylor,https://www.basketball-reference.com/wnba/players/t/tayloca01w.html,MIN,2025,20,F,6-1,190,"March 15, 2000",R,"Marquette, Virginia"
vadeema01w,Maria Kliundikova,https://www.basketball-reference.com/wnba/players/v/vadeema01w.html,MIN,2025,77,F,6-4,190,"July 16, 1998",2,
willico01w,Courtney Williams,https://www.basketball-reference.com/wnba/players/w/willico01w.html,MIN,2025,10,G,5-8,147,"May 11, 1994",9,South Florida
burkeke01w,Kennedy Burke,https://www.basketball-reference.com/wnba/players/b/burkeke01w.html,NYL,2025,22,G-F,6-1,199,"February 14, 1997",5,UCLA
cloudna01w,Natasha Cloud,https://www.basketball-reference.com/wnba/players/c/cloudna01w.html,NYL,2025,9,G,5-10,160,"February 22, 1992",9,"Maryland, Saint Joseph's"
davisma05w,Marquesha Davis,https://www.basketball-reference.com/wnba/players/d/davisma05w.html,NYL,2025,1,G,6-0,,"May 29, 2001",1,"Arkansas, Ole Miss"
fiebile01w,Leonie Fiebich,https://www.basketball-reference.com/wnba/players/f/fiebile01w.html,NYL,2025,13,F,6-4,,"January 10, 2000",1,
gardnre01w,Rebekah Gardner,https://www.basketball-reference.com/wnba/players/g/gardnre01w.html,NYL,2025,7,G,6-1,130,"July 9, 1990",2,UCLA
harriis01w,Isabelle Harrison,https://www.basketball-reference.com/wnba/players/h/harriis01w.html,NYL,2025,21,F,6-5,193,"September 27, 1993",7,Tennessee
ionessa01w,Sabrina Ionescu,https://www.basketball-reference.com/wnba/players/i/ionessa01w.html,NYL,2025,20,G,5-11,165,"December 6, 1997",5,Oregon
johanma01w,Marine Johannes,https://www.basketball-reference.com/wnba/players/j/johanma01w.html,NYL,2025,23,G,5-10,134,"January 21, 1995",3,
jonesjo01w,Jonquel Jones,https://www.basketball-reference.com/wnba/players/j/jonesjo01w.html,NYL,2025,35,C,6-6,215,"January 5, 1994",8,"Clemson, George Washington"
meessem01w,Emma Meesseman,https://www.basketball-reference.com/wnba/players/m/meessem01w.html,NYL,2025,33,F,6-4,191,"May 13, 1993",8,
sabalny01w,Nyara Sabally,https://www.basketball-reference.com/wnba/players/s/sabalny01w.html,NYL,2025,8,F,6-5,214,"February 26, 2000",2,Oregon
sherrja01w,Jaylyn Sherrod,https://www.basketball-reference.com/wnba/players/s/sherrja01w.html,NYL,2025,0,G,5-7,147,"October 21, 2001",1,Colorado
stewabr01w,Breanna Stewart,https://www.basketball-reference.com/wnba/players/s/stewabr01w.html,NYL,2025,30,F,6-4,170,"August 27, 1994",8,UConn
talbost01w,Stephanie Talbot,https://www.basketball-reference.com/wnba/players/t/talbost01w.html,NYL,2025,6,F,6-2,192,"June 15, 1994",6,
akoamo01w,Monique Akoa Makani,https://www.basketball-reference.com/wnba/players/a/akoamo01w.html,PHO,2025,8,G,5-10,,"February 4, 2001",R,
bonnede01w,DeWanna Bonner,https://www.basketball-reference.com/wnba/players/b/bonnede01w.html,PHO,2025,14,F-G,6-4,140,"August 21, 1987",15,Auburn
brownka01w,Kalani Brown,https://www.basketball-reference.com/wnba/players/b/brownka01w.html,PHO,2025,21,C,6-7,245,"March 21, 1997",5,Baylor
coppeka01w,Kahleah Copper,https://www.basketball-reference.com/wnba/players/c/coppeka01w.html,PHO,2025,2,G-F,6-1,165,"August 28, 1994",9,Rutgers University
heldle01w,Lexi Held,https://www.basketball-reference.com/wnba/players/h/heldle01w.html,PHO,2025,1,G,5-9,138,"December 28, 1999",R,DePaul
jonesha01w,Haley Jones,https://www.basketball-reference.com/wnba/players/j/jonesha01w.html,PHO,2025,,F-G,6-1,202,"May 23, 2001",2,Stanford
laksaki01w,Kitija Laksa,https://www.basketball-reference.com/wnba/players/l/laksaki01w.html,PHO,2025,9,G,6-1,155,"May 21, 1996",R,South Florida
mackna01w,Natasha Mack,https://www.basketball-reference.com/wnba/players/m/mackna01w.html,PHO,2025,4,F-C,6-3,182,"November 3, 1997",2,"Angelina College, Oklahoma State"
mcconme01w,Megan McConnell,https://www.basketball-reference.com/wnba/players/m/mcconme01w.html,PHO,2025,16,G,5-7,,"November 12, 2001",R,Duquesne
musamu01w,Murjanatu Musa,https://www.basketball-reference.com/wnba/players/m/musamu01w.html,PHO,2025,20,C,6-2,,"May 5, 2000",R,
princal01w,Alexis Prince,https://www.basketball-reference.com/wnba/players/p/princal01w.html,PHO,2025,,F,6-2,178,"February 5, 1994",3,Baylor
sabalsa01w,Satou Sabally,https://www.basketball-reference.com/wnba/players/s/sabalsa01w.html,PHO,2025,0,F,6-4,175,"April 25, 1998",5,Oregon
thomaal01w,Alyssa Thomas,https://www.basketball-reference.com/wnba/players/t/thomaal01w.html,PHO,2025,25,F,6-2,203,"April 12, 1992",11,Maryland
uzunse01w,Sevgi Uzun,https://www.basketball-reference.com/wnba/players/u/uzunse01w.html,PHO,2025,10,G,5-10,141,"November 25, 1997",1,
westbka01w,Kathryn Westbeld,https://www.basketball-reference.com/wnba/players/w/westbka01w.html,PHO,2025,24,F,6-3,,"January 29, 1996",R,Notre Dame
whitcsa01w,Sami Whitcomb,https://www.basketball-reference.com/wnba/players/w/whitcsa01w.html,PHO,2025,33,G,5-10,149,"July 20, 1988",8,Washington
williki02w,Kiana Williams,https://www.basketball-reference.com/wnba/players/w/williki02w.html,PHO,2025,23,G,5-8,140,"April 9, 1999",3,Stanford
brownle02w,Lexie Brown,https://www.basketball-reference.com/wnba/players/b/brownle02w.html,SEA,2025,8,G,5-9,162,"October 27, 1994",7,"Maryland, Duke"
