Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Darianna Littlepage-Buggs (43588509),Darianna Littlepage-Buggs,43588509,F/UTIL,3000,SEA@WAS 07/12/2026 03:00PM ET,WAS,0
SF/PF,Taylor Thierry (43588517),Taylor Thierry,43588517,F/UTIL,3000,SEA@WAS 07/12/2026 03:00PM ET,SEA,2.06
SF/PF,Mackenzie Holmes (43588519),Mackenzie Holmes,43588519,F/UTIL,3000,SEA@WAS 07/12/2026 03:00PM ET,SEA,9.65
PG/SG,Rori Harmon (43588537),Rori Harmon,43588537,G/UTIL,3000,SEA@WAS 07/12/2026 03:00PM ET,WAS,4.88
SF/PF,Alysha Clark (43588513),Alysha Clark,43588513,F/UTIL,3000,CHI@DAL 07/12/2026 07:00PM ET,DAL,5.1
SF/PF,Li Yueru (43588515),Li Yueru,43588515,F/UTIL,3000,CHI@DAL 07/12/2026 07:00PM ET,DAL,6.95
PG/SG,Costanza Verona (43588523),Costanza Verona,43588523,G/UTIL,3000,CHI@DAL 07/12/2026 07:00PM ET,DAL,7
PG/SG,Haley Jones (43588525),Haley Jones,43588525,G/UTIL,3000,CHI@DAL 07/12/2026 07:00PM ET,DAL,9.65
SF/PF,Maddy Westbeld (43588529),Maddy Westbeld,43588529,F/UTIL,3000,CHI@DAL 07/12/2026 07:00PM ET,CHI,3.5
PG/SG,Sug Sutton (43588539),Sug Sutton,43588539,G/UTIL,3000,CHI@DAL 07/12/2026 07:00PM ET,DAL,11.41
SF/PF,Chloe Bibby (43588547),Chloe Bibby,43588547,F/UTIL,3000,CHI@DAL 07/12/2026 07:00PM ET,CHI,0
SF/PF,Rickea Jackson (43588549),Rickea Jackson,43588549,F/UTIL,3000,CHI@DAL 07/12/2026 07:00PM ET,CHI,30.69
SF/PF,Justine Pissott (43588511),Justine Pissott,43588511,F/UTIL,3000,IND@LVA 07/12/2026 09:00PM ET,LVA,24.5
SF/PF,Janiah Barker (43588521),Janiah Barker,43588521,F/UTIL,3000,IND@LVA 07/12/2026 09:00PM ET,LVA,0
SF/PF,Damiris Dantas (43588531),Damiris Dantas,43588531,F/UTIL,3000,IND@LVA 07/12/2026 09:00PM ET,IND,7.18
SF/PF,Grace VanSlooten (43588533),Grace VanSlooten,43588533,F/UTIL,3000,IND@LVA 07/12/2026 09:00PM ET,IND,5.07
PG/SG,Bree Hall (43588541),Bree Hall,43588541,G/UTIL,3000,IND@LVA 07/12/2026 09:00PM ET,IND,3.38
PG/SG,Ta'Niya Latson (43588551),Ta'Niya Latson,43588551,G/UTIL,3000,IND@LVA 07/12/2026 09:00PM ET,LVA,3.2
