Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
53,5186268179,Ocin_D_Clown (11/150),0,223.5,F Jessica Shepard F Laura Juskaite F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Natasha Cloud,,Kaitlyn Chen,UTIL,2.44%,12.75
53,5186370101,djsollinger (9/20),0,223.5,F Jessica Shepard F Laura Juskaite F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Natasha Cloud,,Arike Ogunbowale,UTIL,2.31%,34.75
53,5186431509,kushman999 (10/15),0,223.5,F Jessica Shepard F Laura Juskaite F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Natasha Cloud,,Alissa Pili,F,2.16%,0
53,5186585144,aarontdyson (137/150),0,223.5,F Jessica Shepard F Laura Juskaite F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Natasha Cloud,,Laeticia Amihere,F,2.13%,24.25
53,5186619107,sirjerkins (39/150),0,223.5,F Nneka Ogwumike F Dearica Hamby F Laura Juskaite G Azzi Fudd G Arike Ogunbowale UTIL Ariel Atkins,,Kennedy Burke,UTIL,2.02%,4
53,5186670090,ChickenDinner1970 (33/100),0,223.5,F Jessica Shepard F Laura Juskaite F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Natasha Cloud,,Awak Kuier,UTIL,1.89%,10.25
53,5186673701,wwatts12 (35/40),0,223.5,F Jessica Shepard F Laura Juskaite F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Natasha Cloud,,Julie Allemand,UTIL,1.89%,21.75
60,5186338554,milligolf (68/150),0,223.25,F Dearica Hamby F Laura Juskaite F Diamond Miller G Paige Bueckers G Marina Mabrey UTIL Ariel Atkins,,Jessica Shepard,UTIL,1.68%,47.25
61,5186268230,Ocin_D_Clown (62/150),0,223,F Jessica Shepard F Janelle Salaun F Laura Juskaite G Marina Mabrey G Arike Ogunbowale UTIL Rae Burrell,,Erica Wheeler,UTIL,1.68%,36
61,5186338620,milligolf (134/150),0,223,F Nneka Ogwumike F Maria Conde F Laura Juskaite G Paige Bueckers G Sydney Taylor UTIL Rae Burrell,,Jihyun Park,F,1.67%,1.25
61,5186353368,dbaggot3 (21/52),0,223,F Jessica Shepard F Isabelle Harrison F Laeticia Amihere G Paige Bueckers G Ariel Atkins UTIL Rae Burrell,,Charlisse Leger-Walker,UTIL,1.60%,15.75
61,5186456823,llllllllllllllllIll (64/150),0,223,F Jessica Shepard F Isabelle Harrison F Laeticia Amihere G Paige Bueckers G Rae Burrell UTIL Ariel Atkins,,Leila Lacan,UTIL,1.56%,23.25
61,5186486618,mrclean913 (9/30),0,223,F Jessica Shepard F Janelle Salaun F Laeticia Amihere G Paige Bueckers G Arike Ogunbowale UTIL Natasha Cloud,,Veronica Burton,UTIL,1.36%,35.75
61,5186573638,ljb33bc102 (65/100),0,223,F Jessica Shepard F Janelle Salaun F Laura Juskaite G Marina Mabrey G Arike Ogunbowale UTIL Rae Burrell,,Olivia Nelson-Ododa,UTIL,1.33%,30
67,5186281757,whoisjohngalt420 (8/20),0,222.75,F Jessica Shepard F Janelle Salaun F Nell Angloma G Paige Bueckers G Rae Burrell UTIL Dearica Hamby,,Maddy Siegrist,F,1.11%,0
67,5186619166,sirjerkins (98/150),0,222.75,F Nneka Ogwumike F Dearica Hamby F Laeticia Amihere G Veronica Burton G Arike Ogunbowale UTIL Ariel Atkins,,Gabriela Jaquez,UTIL,1.11%,21.25
69,5186144462,niquisition (10/83),0,222.25,F Nneka Ogwumike F Aaliyah Edwards F Laeticia Amihere G Paige Bueckers G Marina Mabrey UTIL Arike Ogunbowale,,Alanna Smith,UTIL,1.08%,-0.5
69,5186539276,aquafinatim (123/150),0,222.25,F Nneka Ogwumike F Aaliyah Edwards F Laeticia Amihere G Paige Bueckers G Marina Mabrey UTIL Arike Ogunbowale,,Diamond Miller,UTIL,1.07%,16.75
71,5186314937,JWALKER598 (1/5),0,222,F Nneka Ogwumike F Olivia Nelson-Ododa F Aaliyah Edwards G Paige Bueckers G Rae Burrell UTIL Laura Juskaite,,Elizabeth Williams,UTIL,0.98%,9.75
71,5186418098,cptnspaulding (107/150),0,222,F Nneka Ogwumike F Kamilla Cardoso F Laura Juskaite G Paige Bueckers G Tiffany Hayes UTIL Rae Burrell,,Kia Nurse,G,0.94%,2.75
71,5186498224,Bsaun32 (25/150),0,222,F Nneka Ogwumike F Kamilla Cardoso F Laura Juskaite G Paige Bueckers G Tiffany Hayes UTIL Rae Burrell,,Alissa Pili,UTIL,0.91%,0
